gender,field_choices,health_condition,exam_result
Male,Computer Science,None,92
Female,Natural Science,Hearing Impairment,88
Male,"Medicine,Health Science",Physical Disability,72
Female,Medicine,None,69
Male,Arts,Physical Disability,51
Male,"Agriculture,Social Science,Law",Physical Disability,84
Female,"Computer Science,Law,Business",Hearing Impairment,56
Male,"Sciences,Natural Science",Physical Disability,76
Female,Health Science,Visual Impairment,82
Male,"Agriculture,Health Science",Visual Impairment,79
Female,"Law,Education,Business",Physical Disability,67
Female,Sciences,Visual Impairment,50
Female,Business,Hearing Impairment,77
Female,"Arts,Computer Science",None,67
Female,Engineering,Visual Impairment,93
Male,"Social Science,Engineering,Education",None,93
Male,"Engineering,Law,Sciences",None,62
Female,Sciences,Visual Impairment,90
Male,Arts,None,60
Female,"Education,Business,Sciences",None,96
Female,"Business,Computer Science",Visual Impairment,84
Female,Sciences,None,64
Female,Medicine,None,93
Male,"Education,Engineering",Hearing Impairment,99
Female,"Medicine,Law,Social Science",None,98
Male,Law,Visual Impairment,83
Male,"Medicine,Engineering",Hearing Impairment,83
Female,Business,Physical Disability,59
Female,"Health Science,Agriculture",Physical Disability,74
Male,"Arts,Law",Visual Impairment,90
Female,"Business,Engineering",Physical Disability,92
Female,"Medicine,Agriculture",Physical Disability,98
Male,"Education,Social Science,Agriculture",Physical Disability,53
Male,Education,Physical Disability,94
Female,"Health Science,Arts,Social Science",Physical Disability,80
Male,Education,Visual Impairment,62
Female,"Computer Science,Education,Medicine",Physical Disability,75
Female,"Health Science,Sciences",Physical Disability,90
Female,"Business,Social Science,Sciences",None,67
Male,"Agriculture,Business,Sciences",None,80
Male,"Education,Business",Physical Disability,58
Male,Social Science,Visual Impairment,67
Female,"Education,Business,Law",Physical Disability,89
Female,"Social Science,Health Science",Hearing Impairment,83
Male,"Medicine,Education,Engineering",Physical Disability,81
Female,Medicine,Physical Disability,95
Male,"Arts,Business",None,69
Female,"Health Science,Engineering",Hearing Impairment,73
Female,"Business,Health Science",None,74
Female,"Agriculture,Medicine,Sciences",Physical Disability,90
Male,"Business,Sciences",Hearing Impairment,89
Female,"Law,Sciences",Physical Disability,82
Male,"Medicine,Computer Science,Sciences",None,60
Female,Engineering,Visual Impairment,63
Male,Business,None,77
Female,"Agriculture,Health Science",Hearing Impairment,77
Female,"Medicine,Education",None,88
Female,"Education,Agriculture",Visual Impairment,54
Male,"Law,Medicine",Physical Disability,82
Male,"Sciences,Business",Visual Impairment,95
Male,"Computer Science,Sciences,Education",Hearing Impairment,97
Male,"Computer Science,Agriculture",Physical Disability,71
Male,"Social Science,Agriculture",Visual Impairment,67
Female,Natural Science,Physical Disability,97
Male,Education,Hearing Impairment,72
Female,"Natural Science,Business",Visual Impairment,52
Female,Law,None,80
Male,"Agriculture,Law,Business",Physical Disability,65
Male,"Social Science,Law",Hearing Impairment,99
Female,"Medicine,Agriculture",Physical Disability,92
Male,"Social Science,Sciences",None,68
Male,"Law,Sciences,Engineering",Physical Disability,64
Female,Agriculture,Visual Impairment,67
Male,"Sciences,Engineering,Social Science",Visual Impairment,73
Female,Computer Science,Physical Disability,61
Female,"Computer Science,Arts",None,50
Female,Education,Hearing Impairment,94
Male,"Arts,Education",Hearing Impairment,93
